Abstract,Authors,DOI,Datatype,Keywords,Source,Title
"['In an effort to determine exposure to ticks and to determine appropriate preventative measures to reduce the occurrence of Lyme Disease in summer research interns at Harvard Forest, data are collected about where students work at Harvard Forest; the time spent in the field; the number of ticks students find on themselves after each trip to the field; and the number of ticks that actually bite and embed themselves in the skin. From these data, we estimate areas of high tick densities and estimate time of summer during which ticks are most prevalent. The results are used to develop recommendations for appropriate precautions that students can take to avoid tick-borne diseases.']",['\n            '],['doi:10.6073/pasta/22536ed700a7330153d826474d0c6873'],['unkown'],[''],[''],['Incidence of Ticks and Tick Bites at Harvard Forest since 2006']
"['Wind data have been measured by an anemometer mounted 3\n      m above the ground at Hubbard Brook Experimental Forest\n      Headquarters since 1965. Prior to 1981, every mile of wind\n      movement caused a tick mark on a strip-chart recorder, and\n      wind direction as N, S, E, W, or a combination, was recorded\n      continuously. Since 1981, wind speed and direction have been\n      collected by an automatic data logger system. In 2004, a R.M.\n      Young company wind speed direction sensor (model 05103) was\n      installed. Since that time wind direction (azimuth) are based\n      on a 0 to 360 degree scale.\n      These data were gathered as part of the Hubbard Brook\n      Ecosystem Study (HBES). The HBES is a collaborative effort at\n      the Hubbard Brook Experimental Forest, which is operated and\n      maintained by the USDA Forest Service, Northern Research\n      Station.']",['\n            '],['doi:10.6073/pasta/b9a061361edd036a7f988aa83c557e83'],['unkown'],[''],[''],"['Hubbard Brook Experimental Forest (USDA Forest Service):\n    Wind Speed and Wind Direction Measurements, 1965 -\n    present']"
"['Data set contains summaries (summer) of the number of individuals of each species of small mammal captured (relative abundance) on each transect. Each record contains date, treatment, transect, trap station, species, specimen number, recapture status, specimen disposition, external body measurements (where applicable), reproductive information, and miscellaneous associated comments. These sampling records are based on nightly captures during one 4-night trapping period in summer (June through August) for each of 16 permanent transects established on eight fire treatments (two transects per treatment). These treatments include two seasonal burn watersheds (SpB, SuB), two reversal burn watersheds (R1A, R20A), one annual burn watershed (1D), two 4-year burn watersheds (4B, 4F, and one 20-year burn watershed (20B). None of these treatments implement bison grazing.']",['\n            '],['doi:10.6073/pasta/69109c56fcf21a30a8d37369cb47f8de'],['unkown'],[''],[''],['CSM08 Small mammal host-parasite sampling data for 16 linear trapping transects located in 8 LTER burn treatment watersheds at Konza Prairie']
"['Data set contains seasonal summaries (spring, summer and autumn) of the number of individuals of each species of small mammal captured (relative abundance) on each woodland trapline. Each record contains year, season, trapline and number of individuals captured of each species. These live trap records are based on daily captures during a single 4-day trapping period in spring (early March to early April), summer (early July to late July) and autumn (mid-October to early December) for each of four permanent traplines established in two habitats (two traplines in gallery forest and two on limestone ledges). Bison did not graze any of the treatment units during the period of study.']",['\n            '],['doi:10.6073/pasta/258e398ad4e155dd0857d5bedab86323'],['unkown'],[''],[''],['CSM03 Seasonal summary of numbers of small mammals on the two LTER traplines in planted grassland (Brome fields) habitats at Konza Prairie']
"['Data set contains seasonal summaries (spring, summer and autumn) of the number of individuals of each species of small mammal captured (relative abundance) on each prairie trapline. Each record contains year, season, trapline and number of individuals captured of each species. These live trap records are based on daily captures during 4-day trapping periods in spring (early March to early April), summer (late June to late July) and autumn (early October to mid-November) for each permanent trapline (two traplines per treatment). These treatments include annual burns, 2-year burns, 4-year burns and 10-year burns; none were grazed by bison. This data set includes 14 traplines sampled in autumn and spring and 30 traplines in summer.']",['\n            '],['doi:10.6073/pasta/8166f11287117b284e120e0a35e31e45'],['unkown'],[''],[''],['CSM06 Seasonal summary of numbers of small mammals on miscellaneous traplines in prairie habitats that were trapped from 1 to 11 years at Konza Prairie']
"['Data set contains seasonal summaries (spring, summer and autumn) of the number of individuals of each species of small mammal captured (relative abundance) on each woodland trapline. Each record contains year, season, trapline and number of individuals captured of each species. These live trap records are based on daily captures during a single 4-day trapping period in spring (early March to early April), summer (early July to late July) and autumn (mid-October to early December) for each of four permanent traplines established in two habitats (two traplines in gallery forest and two on limestone ledges). Bison did not graze any of the treatment units during the period of study.']",['\n            '],['doi:10.6073/pasta/bf6caddba088fb97b2ae774d8fb2a3d4'],['unkown'],[''],[''],['CSM02 Seasonal summary of numbers of small mammals on the four LTER gallery forest and limestone ledges traplines in wooded habitats at Konza Prairie']
"['Data set contains seasonal summaries (spring, summer and fall) of the number of individuals of each species of small mammal caught (relative density) on each grassland census line. Each record contains trapline, year of last fire and number of individuals per species. These live trap records are based on daily captures during three 4-day trapping peroids, March, July and October, for each of 20 permanent census lines established on 10 fire-grazing treatments (2 lines per treatment). These 10 fire-grazing treatments are one unburned, one annual burn and one 4- year burn site to be grazed by native ungulates and one unburned, one annual burn, four 4-year burn and one 10-year burn site not grazed by ungulates.']",['\n            '],['doi:10.6073/pasta/5db599009d5c1652e62b1b51b08429c5'],['unkown'],[''],[''],['CSM04 Seasonal summary of numbers of small mammals on the eight LTER seasonal burn traplines in prairie habitats at Konza Prairie']
"['Data set contains seasonal summaries (spring and autumn) of the number of individuals of each species of small mammal captured (relative abundance) on each grassland trapline. Each record contains year, season, trapline and number of individuals captured of each species. These live trap records are based on daily captures during a single 4-day trapping period in spring (mid-March to early April) and autumn (late October to early December) for each of six permanent traplines established on two fire treatments (three traplines per treatment). These two fire treatments include one treatment that was changed from a 20-year burn to an annual burn and one that was changed from an annual burn to 20 years between fires. Bison do not graze these two habitat types.']",['\n            '],['doi:10.6073/pasta/89846e133f48edf3de8fc96e69cf1204'],['unkown'],[''],[''],['CSM05 Seasonal summary of numbers of small mammals on the six LTER traplines in prairie habitats on which fire regime has been reversed at Konza Prairie']
"['Data set contains seasonal summaries (spring and autumn) of the number of individuals of each species of small mammal captured (relative abundance) on each grassland trapline. Each record contains year, season, trapline and number of individuals captured of each species. These live trap records are based on daily captures during two 4-day trapping periods in spring (late February to early April) and autumn (early October to mid-November) for each of 14 permanent traplines established on seven fire-grazing treatments (two traplines per treatment). These seven fire-grazing treatments include three sites that are grazed by bison (1 unburned, 1 annual burn and 1 4-year burn) and four sites that are not grazed by bison (1 unburned, 1 annual burn and 2 4-year burn).']",['\n            '],['doi:10.6073/pasta/9735a16a0018d85ff5efb8b74fd100f4'],['unkown'],[''],[''],['CSM01 Seasonal Summary of Numbers of Small Mammals on 14 LTER Traplines in Prairie Habitats at Konza Prairie']
"['This data package is formatted according to the ""ecocomDP"", a data package design pattern for ecological community surveys, and data from studies of composition and biodiversity. For more information on the ecocomDP project see https://github.com/EDIorg/ecocomDP/tree/master, or contact EDI https://environmentaldatainitiative.org.\n\nThis Level 1 data package was derived from the Level 0 data package found here: https://portal.edirepository.org/nis/mapbrowse?scope=knb-lter-knz&identifier=88&revision=7\n\nThe abstract below was extracted from the Level 0 data package and is included for context:']",['\n            '],['doi:10.6073/pasta/05e071caddf53508c6f95db5dffbdd37'],['unkown'],[''],[''],['CSM01 Seasonal Summary of Numbers of Small Mammals on 14 LTER Traplines in Prairie Habitats at Konza Prairie (Reformatted to ecocomDP Design Pattern)']
"['In an effort to determine exposure to ticks and to determine appropriate preventative measures to reduce the occurrence of Lyme Disease in summer research interns at Harvard Forest, data are collected about where students work at Harvard Forest; the time spent in the field; the number of ticks students find on themselves after each trip to the field; and the number of ticks that actually bite and embed themselves in the skin. From these data, we estimate areas of high tick densities and estimate time of summer during which ticks are most prevalent. The results are used to develop recommendations for appropriate precautions that students can take to avoid tick-borne diseases.']",['\n            '],['doi:10.6073/pasta/22536ed700a7330153d826474d0c6873'],['unkown'],[''],[''],['Incidence of Ticks and Tick Bites at Harvard Forest since 2006']
"['Data from 66 North American lakes were collected to construct a model for predicting the\n\t\t\t\tnumber of crustacean zooplankton species expected in a lake. The chosen lakes have a range\n\t\t\t\tfrom 4 sq m to 80 x 10**9 sq m surface area, range from ultra-oligotrophic to\n\t\t\t\thypereutrophic, and have zooplankton species lists based of several years of observation The\n\t\t\t\tnumber of crustacean zooplankton species in a lake is significantly correlated with lake\n\t\t\t\tsize, average rate of photosynthesis (parabolic function) and the number of lakes within 20\n\t\t\t\tkm. A multiple linear regression model, using these three independent variables, explains\n\t\t\t\tapproximately 75% of the variation in log species richness. Prediction of species richness\n\t\t\t\tis not enhanced by the knowledge of lake depth, salinity, elevation, latitude, longitude, or\n\t\t\t\tdistance to nearest lake. The North American species area curve is statistically different\n\t\t\t\tfrom and steeper than the corresponding European curve. Number of sites: 69']",['\n            '],['doi:10.6073/pasta/ca2f726f197d4336c0fa3748ac0873aa'],['unkown'],[''],[''],['Crustacean Zooplankton Species Richness in 66 North American Lakes']
